refdes,subcircuit,lcsc,symbol,note
U1,mcu,C94355,easyeda2kicad:STM32F411RET6,MCU · STM32F411RET6 · #1
C1,mcu,C14663,easyeda2kicad:CC0603KRX7R9BB104,STM32 VDD pin 19 decoupling · CC0603KRX7R9BB104 · #6
C2,mcu,C14663,easyeda2kicad:CC0603KRX7R9BB104,STM32 VDD pin 32 decoupling · CC0603KRX7R9BB104 · #6
C3,mcu,C14663,easyeda2kicad:CC0603KRX7R9BB104,STM32 VDD pin 48 decoupling · CC0603KRX7R9BB104 · #6
C4,mcu,C14663,easyeda2kicad:CC0603KRX7R9BB104,STM32 VDD pin 64 decoupling · CC0603KRX7R9BB104 · #6
C5,mcu,C14663,easyeda2kicad:CC0603KRX7R9BB104,STM32 VBAT decoupling · CC0603KRX7R9BB104 · #6
C6,mcu,C14663,easyeda2kicad:CC0603KRX7R9BB104,STM32 NRST filter · CC0603KRX7R9BB104 · #6
C7,mcu,C109456,easyeda2kicad:CC0603KRX5R6BB475,STM32 VCAP_1 · CC0603KRX5R6BB475 · #7
C8,mcu,C109456,easyeda2kicad:CC0603KRX5R6BB475,STM32 VDD bulk · CC0603KRX5R6BB475 · #7
FB1,mcu,C1002,easyeda2kicad:GZ1608D601TF,STM32 VDD→VDDA ferrite · GZ1608D601TF · #5
C9,mcu,C100042,easyeda2kicad:CC0603KRX7R9BB103,STM32 VDDA HF bypass · CC0603KRX7R9BB103 · #8
C10,mcu,C106215,easyeda2kicad:CC0603KRX5R7BB105,STM32 VDDA bulk · CC0603KRX5R7BB105 · #9
R1,mcu,C99198,easyeda2kicad:RC0603JR-0710KL,BOOT0 pull-down · RC0603JR-0710KL · #10
J1,mcu,C358687,easyeda2kicad:MTP125-1105S1,SWD header (ST-Link V2 order) · Pin Header 1x5 · #13
J2,mcu,C49257,easyeda2kicad:Header-Male-2.54_1x3,"UART console header (USART2, v1 order) · Pin Header 1x3 · #14"
R2,mcu,C23193,easyeda2kicad:0603WAF5100T5E,Power LED resistor · 0603WAF5100T5E · #11
D1,mcu,C2986027,easyeda2kicad:19-213SYGC_S530-E2_5T,Power LED (lit when +3V3 is up) · 19-213SYGC/S530-E2/5T · #12
Y1,clock,C57131,easyeda2kicad:DSX321G8MHz,HSE crystal 8 MHz CL 12 pF · KDS 1C208000BC0R · #74
C11,clock,C106997,easyeda2kicad:CC0402JRNPO9BN150,HSE load cap (OSC_IN) · CC0402JRNPO9BN150 · #75
C12,clock,C106997,easyeda2kicad:CC0402JRNPO9BN150,HSE load cap (OSC_OUT) · CC0402JRNPO9BN150 · #75
R3,clock,C21189,easyeda2kicad:0603WAF0000T5E,HSE series R (keep 0 Ω) · 0603WAF0000T5E · #77
U2,fpga,C2678152,easyeda2kicad:ICE40UP5K-SG48I,FPGA / PPU · iCE40UP5K-SG48I · #2
C13,fpga,C14663,easyeda2kicad:CC0603KRX7R9BB104,iCE40 VCC pin 5 decoupling · CC0603KRX7R9BB104 · #6
C14,fpga,C14663,easyeda2kicad:CC0603KRX7R9BB104,iCE40 VCC pin 30 decoupling · CC0603KRX7R9BB104 · #6
C15,fpga,C14663,easyeda2kicad:CC0603KRX7R9BB104,iCE40 VCCIO_0 decoupling · CC0603KRX7R9BB104 · #6
C16,fpga,C14663,easyeda2kicad:CC0603KRX7R9BB104,iCE40 SPI_VCCIO1 decoupling · CC0603KRX7R9BB104 · #6
C17,fpga,C14663,easyeda2kicad:CC0603KRX7R9BB104,iCE40 VCCIO_2 decoupling · CC0603KRX7R9BB104 · #6
C18,fpga,C14663,easyeda2kicad:CC0603KRX7R9BB104,iCE40 VPP_2V5 decoupling · CC0603KRX7R9BB104 · #6
C19,fpga,C14663,easyeda2kicad:CC0603KRX7R9BB104,iCE40 VCCPLL decoupling · CC0603KRX7R9BB104 · #6
C20,fpga,C109456,easyeda2kicad:CC0603KRX5R6BB475,iCE40 VCCPLL bulk · CC0603KRX5R6BB475 · #7
FB2,fpga,C1002,easyeda2kicad:GZ1608D601TF,iCE40 1.2 V→VCCPLL ferrite · GZ1608D601TF · #5
